	prediction	d.CS1	d.CS2	p.value	FDR
TCGA-S9-A7R4-01A	CS2	0.8157	0.5785	0.002	0.0027
TCGA-TQ-A7RP-01A	CS2	0.8768	0.4809	0.001	0.0014
TCGA-DB-A64P-01A	CS1	0.6446	0.7645	0.0909	0.1068
TCGA-DB-A4XB-01A	CS1	0.4087	0.9127	0.001	0.0014
TCGA-DH-A669-02A	CS2	0.7646	0.6445	0.0799	0.0945
TCGA-DH-A669-01A	CS2	0.8146	0.5801	0.001	0.0014
TCGA-TM-A84H-01A	CS1	0.5004	0.8658	0.001	0.0014
TCGA-DU-7018-01A	CS1	0.4342	0.9008	0.001	0.0014
TCGA-RY-A847-01A	CS1	0.2879	0.9577	0.001	0.0014
TCGA-DB-A75O-01A	CS2	0.8267	0.5626	0.001	0.0014
TCGA-RY-A83X-01A	CS1	0.4728	0.8812	0.001	0.0014
TCGA-S9-A6WL-01A	CS1	0.519	0.8548	0.001	0.0014
TCGA-TQ-A7RO-01A	CS1	0.3597	0.9331	0.001	0.0014
TCGA-TQ-A8XE-02A	CS2	0.8344	0.5511	0.001	0.0014
TCGA-TQ-A8XE-01A	CS1	0.6031	0.7977	0.002	0.0027
TCGA-DB-A64R-01A	CS1	0.2441	0.9698	0.001	0.0014
TCGA-HT-7902-01A	CS1	0.6314	0.7755	0.037	0.0458
TCGA-S9-A7R8-01A	CS2	0.7273	0.6863	0.5584	0.5936
TCGA-HW-A5KJ-01A	CS1	0.5795	0.815	0.001	0.0014
TCGA-DB-A4XH-01A	CS1	0.389	0.9212	0.001	0.0014
TCGA-DU-A5TS-01A	CS1	0.6984	0.7157	0.7283	0.7572
TCGA-HT-7688-01A	CS1	0.2945	0.9557	0.001	0.0014
TCGA-DH-5141-01A	CS1	0.662	0.7495	0.2358	0.2645
TCGA-E1-A7Z6-01A	CS2	0.8007	0.599	0.005	0.0067
TCGA-E1-A7YV-01A	CS2	0.7788	0.6273	0.04	0.0493
TCGA-FG-8191-01A	CS2	0.855	0.5187	0.001	0.0014
TCGA-S9-A6U5-01A	CS1	0.6459	0.7634	0.1089	0.1262
TCGA-R8-A6MO-01A	CS1	0.5663	0.8242	0.001	0.0014
TCGA-HT-8019-01A	CS1	0.3399	0.9405	0.001	0.0014
TCGA-TM-A84O-01A	CS1	0.628	0.7782	0.033	0.0412
TCGA-DU-A5TP-01A	CS2	0.9158	0.4016	0.001	0.0014
TCGA-DB-A4XF-01A	CS2	0.7446	0.6675	0.2408	0.269
TCGA-TQ-A7RN-01A	CS1	0.4391	0.8984	0.001	0.0014
TCGA-DU-A5TY-01A	CS2	0.9713	0.238	0.001	0.0014
TCGA-HT-8114-01A	CS2	0.8674	0.4975	0.001	0.0014
TCGA-TM-A7CA-01A	CS1	0.2766	0.961	0.001	0.0014
TCGA-S9-A6U6-01A	CS1	0.3446	0.9388	0.001	0.0014
TCGA-S9-A6TY-01A	CS1	0.2883	0.9575	0.001	0.0014
TCGA-HW-7495-01A	CS1	0.2856	0.9583	0.001	0.0014
TCGA-HT-7881-01A	CS1	0.3331	0.9429	0.001	0.0014
TCGA-S9-A7IQ-01A	CS1	0.2858	0.9583	0.001	0.0014
TCGA-CS-4943-01A	CS1	0.6627	0.7489	0.1978	0.2248
TCGA-DB-5280-01A	CS1	0.6116	0.7911	0.006	0.008
TCGA-FG-A710-01A	CS1	0.5514	0.8342	0.001	0.0014
TCGA-TQ-A7RM-01A	CS1	0.6911	0.7227	0.6124	0.647
TCGA-E1-A7YW-01A	CS2	0.7456	0.6663	0.2607	0.2901
TCGA-S9-A6TZ-01A	CS1	0.6655	0.7464	0.2617	0.2906
TCGA-FG-5965-01B	CS2	0.7367	0.6762	0.3836	0.417
TCGA-FG-5965-02B	CS1	0.3271	0.945	0.001	0.0014
TCGA-FG-5965-02A	CS2	0.9363	0.3513	0.001	0.0014
